Author,Handle of Author,Date,Tweet,Likes,Retweets,Discussions
Wheels Up Collective Marketing Group,@wheelsupnow,2022-01-26T14:10:04.000Z,"Wheels Up Collective Marketing Group
@wheelsupnow
·
4hWhether you're an early stage startup just dipping your toes in marketing or an established enterprise looking for an outside perspective, we'd love to talk shop with you. Request your free marketing strategy assessment. https://buff.ly/3drzb4s  #marketingstrategy #marketingtips",0,0,0
OilX,@OilXs,2022-01-26T12:39:31.000Z,"OilX
@OilXs
·
6hEarlier this week, we published our assessment of Nigeria´s highly anticipated Dangote Oil Refinery Company (DORC) startup for our clients. 

Request a copy at research@oilx.co and learn more about OilX Research: https://hubs.li/Q012VYJq0

#OOTT #downstream
2
5",5,2,0
Paul O'Brien,@seobrien,2022-01-25T23:44:44.000Z,"Paul O'Brien
@seobrien
·
19hProject for Hire Board? Upwork-like I suppose but more sophisticated and not based on skills. An RFP (request for proposal) board for startups.

Post the project, details, and get offers to get it done.

 
@heyalexfriedman
  seems like something you might know. Maybe 
@FounderGigs_
1",1,0,0
MetaProp,@MetaPropNYC,2022-01-25T21:00:53.000Z,"MetaProp
@MetaPropNYC
·
21h***TOMORROW, January 26, 2022, 6:00 PM EST***

The MetaProp Accelerator at Columbia University is landing in #Miami for the first time ever with our 2021-2022 cohort.

Request tickets here: http://ow.ly/UJc750HthZz

#Accelerator #VC #startups #growth
eventbrite.com
Miami PropTech Happy Hour with MetaProp
Join the Miami PropTech community and MetaProp Accelerator at Columbia University for drinks and networking with the 2021-2022 cohort!",0,0,0
Kumar Saurabh,@KumarSa70578757,2022-01-25T20:43:08.000Z,"Kumar Saurabh
@KumarSa70578757
·
22h@JayGhai
 request to reconnect for a software startup . we met at Punjab startup program held at ISB Mohali, you asked me to get in touch once i am ready with the prototype. kindly let us know if we can reconnect",0,0,0
Nima Kaviani,@nimak,2022-01-25T18:50:05.000Z,"Nima Kaviani
@nimak
·
Jan 25A huge level of respect develops for a startup company that moves really fast, when feature requests from customers come days after feature releases by the said startup.
2",2,0,0
I Commercial Lending,@ICommercialLend,2022-01-25T14:01:22.000Z,"I Commercial Lending
@ICommercialLend
·
Jan 25We fund all types of specialty trucks and construction equipment!

 No financial statements or tax returns
 24-48 hour approval and up to 60 months to pay
 We can also do startup companies

Call (206) 407-8667 for details, or request a free consultation: https://bit.l",0,0,0
Rahul Mathur,@Rahul_J_Mathur,2022-01-25T13:06:00.000Z,"Rahul Mathur
@Rahul_J_Mathur
·
Jan 25Humble request for Union Budget 2022:
Please streamline the process for foreign inward remittance for Indian startups - lots of filing work with bank branch + RBI

Foreign capital isn't always evil - FDI supports companies with long R&D cycles & provides good quality local jobs
14
47
330",330,47,14
Berkeley Startup Cluster,@BerkStartups,2022-01-24T23:00:07.000Z,"Berkeley Startup Cluster
@BerkStartups
·
Jan 25#Berkeley #startups can still request a waiver for a tax exemption for grant receipts used to support 2021 R&D activities in the #CityofBerkeley. Learn more and download the tax waiver form which will need to accompany your business license renewal form. https://cityofberkeley.info/City_Manager/Economic_Development/R_D_Tax_Waiver.aspx…
1
1",1,1,0
Jason Leow ~ golifelog.com,@jasonleowsg,2022-01-24T22:26:43.000Z,"Jason Leow ~ golifelog.com
@jasonleowsg
·
Jan 25Replying to 
@ZaneDickens
 and 
@christinetrac1
someone gotta go do #ripped30for30 now 

#requestforstartup #requestforproduct
1
1",1,0,1
Berkeley Startup Cluster,@BerkStartups,2022-01-24T19:05:57.000Z,"Berkeley Startup Cluster
@BerkStartups
·
Jan 24If you are a #Berkeley #startup that received a government R&D grant, now is the time to request a waiver for a #CityofBerkeley tax exemption for grant funding used to support R&D activities in 2021. Submit your waiver by 1/31. https://cityofberkeley.info/City_Manager/Economic_Development/R_D_Tax_Waiver.aspx…
1",0,1,0
Atlanta Tech Angels,@Angel_Atlanta,2022-01-24T16:23:16.000Z,"Atlanta Tech Angels
@Angel_Atlanta
·
Jan 24JOIN US TOMORROW: https://eventbrite.com/e/226340008057
Accredited investor wanting to learn more about investing in startups in the Atl tech community, request an invite to our next meeting for first-timers, Code: FIRSTTIMEGUEST 
#ATLSTARTUPS #venturecapital #entrepeneurship #angelinvestors",0,0,0
/dev/in,@hailpixel,2022-01-24T14:25:11.000Z,"/dev/in
@hailpixel
·
Jan 24I've had a few requests to see the dashboard I use to manage my startup portfolio (both for 
@seedcamp
 and my angel investments), so here's the template!
hailpixel.notion.site
Startup Portfolio Template
Copy Portfolio
2
7",7,0,2
